dialect,op_name,td_symbol,template,source_file,family,status,arguments,argument_type_hints,results,result_type_hints,param_type_lists
ascendc,ascendc.shift_left_l2,ShiftLeftL2Op,VecScalarL2Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinaryScalar.td,elewise,expanded-defm,dst:AnyType; src:AnyType; scalar:AnyType; calCount:AnyType; isSetMask:UnitAttr,dst:AnyType; src:AnyType; scalar:AnyType; calCount:AnyType; isSetMask:UnitAttr,,,
ascendc,ascendc.shift_right,AscendC_ShiftRightOp,VectorOp,include/ascir/Dialect/Asc/IR/Basic/OpVecCastExt.td,other,explicit-def,dst:AnyType; src:AnyType; shiftBits:AnyType; calCount:AnyType,dst:AnyType; src:AnyType; shiftBits:AnyType; calCount:AnyType,,,
ascendc,ascendc.shift_right_l0,ShiftRightL0Op,VecScalarL0Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinaryScalar.td,elewise,expanded-defm,dst:AnyType; src:AnyType; scalar:AnyType; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_UnaryRepeatParams; isSetMask:UnitAttr,dst:AnyType; src:AnyType; scalar:AnyType; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_UnaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.shift_right_l1,ShiftRightL1Op,VecScalarL1Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinaryScalar.td,elewise,expanded-defm,dst:AnyType; src:AnyType; scalar:AnyType; mask:Variadic<UI64>; repeatTimes:AnyType; repeatParams:AscendC_UnaryRepeatParams; isSetMask:UnitAttr,dst:AnyType; src:AnyType; scalar:AnyType; mask:UI64/Variadic; repeatTimes:AnyType; repeatParams:AscendC_UnaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.shift_right_l2,ShiftRightL2Op,VecScalarL2Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinaryScalar.td,elewise,expanded-defm,dst:AnyType; src:AnyType; scalar:AnyType; calCount:AnyType; isSetMask:UnitAttr,dst:AnyType; src:AnyType; scalar:AnyType; calCount:AnyType; isSetMask:UnitAttr,,,
ascendc,ascendc.sigmoid,AscendC_SigmoidOp,MathLibraryOp,include/ascir/Dialect/Asc/IR/Basic/OpVecActivationExt.td,other,explicit-def,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:Optional<AnyType>; calCount:Optional<AnyType>,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:AnyType/Optional; calCount:AnyType/Optional,,,
ascendc,ascendc.sigmoid_extend,AscendC_SigmoidExtendOp,MathLibraryOp,include/ascir/Dialect/Asc/IR/Basic/OpVecActivationExt.td,other,explicit-def,dst:AscendC_LocalTensor; src:AnyType; calCount:AnyType; tmpBuf:AscendC_LocalTensor,dst:AscendC_LocalTensor; src:AnyType; calCount:AnyType; tmpBuf:AscendC_LocalTensor,,,
ascendc,ascendc.sign,SignOp,UnaryMathOp,include/ascir/Dialect/Asc/IR/Adv/Math.td,other,inherited-class,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:Optional<AnyType>; calCount:Optional<AnyType>; isReuseSource:AnyType,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:AnyType/Optional; calCount:AnyType/Optional; isReuseSource:AnyType,,,
ascendc,ascendc.silu,AscendC_SiluOp,MathLibraryOp,include/ascir/Dialect/Asc/IR/Basic/OpVecActivationExt.td,other,explicit-def,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:Optional<AnyType>; calCount:Optional<AnyType>,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:AnyType/Optional; calCount:AnyType/Optional,,,
ascendc,ascendc.simple_softmax,AscendC_SimpleSoftMaxOp,APIOp,include/ascir/Dialect/Asc/IR/Adv/Activation.td,other,explicit-def,reuseSource:UnitAttr; basicBlock:UnitAttr; dataFormatNZ:UnitAttr; dst:AscendC_LocalTensor; sumTensor:AscendC_LocalTensor; maxTensor:AscendC_LocalTensor; src:AscendC_LocalTensor; sharedTmpBuffer:Optional<AscendC_LocalTensor>; tiling:AscendC_SoftMaxTiling; softmaxShapeInfo:Optional<AnyType>,reuseSource:UnitAttr; basicBlock:UnitAttr; dataFormatNZ:UnitAttr; dst:AscendC_LocalTensor; sumTensor:AscendC_LocalTensor; maxTensor:AscendC_LocalTensor; src:AscendC_LocalTensor; sharedTmpBuffer:AscendC_LocalTensor/Optional; tiling:AscendC_SoftMaxTiling; softmaxShapeInfo:AnyType/Optional,,,
ascendc,ascendc.sin,SinOp,UnaryMathOp,include/ascir/Dialect/Asc/IR/Adv/Math.td,other,inherited-class,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:Optional<AnyType>; calCount:Optional<AnyType>; isReuseSource:AnyType,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:AnyType/Optional; calCount:AnyType/Optional; isReuseSource:AnyType,,,
ascendc,ascendc.sinh,SinhOp,UnaryMathOp,include/ascir/Dialect/Asc/IR/Adv/Math.td,other,inherited-class,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:Optional<AnyType>; calCount:Optional<AnyType>; isReuseSource:AnyType,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:AnyType/Optional; calCount:AnyType/Optional; isReuseSource:AnyType,,,
